City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,newport,51.5877,-2.9984,20.43,74,90,4.73,GB,1691407161
1,yellowknife,62.456,-114.3525,12.29,76,75,3.09,CA,1691407161
2,laojunmiao,39.8333,97.7333,29.19,18,100,8.37,CN,1691407161
3,dudinka,69.4058,86.1778,25.9,34,3,4.5,RU,1691406893
4,paphos,34.7667,32.4167,31.24,66,20,7.72,CY,1691407162
5,wauseon,41.5492,-84.1416,19.82,100,100,2.06,US,1691407162
6,edinburgh of the seven seas,-37.0676,-12.3116,12.3,65,48,11.02,SH,1691407162
7,margaret river,-33.95,115.0667,15.56,80,90,5.38,AU,1691407036
8,rawai,7.7797,98.3253,29.06,76,99,6.38,TH,1691407163
9,albany,42.6001,-73.9662,20.23,89,100,2.24,US,1691407163
10,ilulissat,69.2167,-51.1,9.01,43,20,8.75,GL,1691407163
11,puerto ayora,-0.7393,-90.3518,23.64,90,61,2.68,EC,1691407163
12,acarau,-2.8856,-40.12,27.46,66,81,8.67,BR,1691407027
13,isafjordur,66.0755,-23.124,12.02,62,0,0.0,IS,1691407164
14,blackmans bay,-43.0167,147.3167,9.74,84,83,1.79,AU,1691407164
15,rio grande,-32.035,-52.0986,12.06,84,100,8.23,BR,1691407164
16,emerald,-23.5333,148.1667,16.86,49,5,3.06,AU,1691407164
17,wailua homesteads,22.0669,-159.378,26.44,87,75,7.2,US,1691407165
18,kloulklubed,7.0419,134.2556,26.88,76,100,7.69,PW,1691407165
19,adamstown,-25.066,-130.1015,20.16,70,26,3.73,PN,1691407165
20,miri,4.4148,114.0089,29.08,84,20,1.54,MY,1691407166
21,marsh harbour,26.5412,-77.0636,29.28,75,77,5.87,BS,1691407166
22,longyearbyen,78.2186,15.6401,8.91,81,75,1.54,SJ,1691407166
23,labytnangi,66.6572,66.4183,28.32,37,4,2.11,RU,1691407166
24,whitehorse,60.7161,-135.0538,16.56,62,75,2.06,CA,1691407167
25,svetlograd,45.3353,42.8547,37.46,30,0,2.31,RU,1691407167
26,waitangi,-43.9535,-176.5597,9.58,53,100,2.9,NZ,1691407167
27,kyzyl-suu,42.3414,78.0056,21.49,46,76,3.29,KG,1691407168
28,lazaro cardenas,17.9583,-102.2,25.82,78,78,2.16,MX,1691407168
29,kutum,14.2,24.6667,28.29,47,100,1.17,SD,1691407169
30,mount gambier,-37.8333,140.7667,7.02,89,8,1.71,AU,1691406941
31,mossel bay,-34.1831,22.146,19.96,63,0,1.28,ZA,1691407169
32,hawaiian paradise park,19.5933,-154.9731,23.83,92,100,2.06,US,1691407169
33,kilindoni,-7.9139,39.6668,25.15,75,15,5.19,TZ,1691407170
34,port-aux-francais,-49.35,70.2167,5.68,92,100,13.96,TF,1691406877
35,talnakh,69.4865,88.3972,25.67,34,43,0.26,RU,1691407170
36,pokhara,28.2333,83.9833,26.45,87,100,1.01,NP,1691407090
37,san pedro pochutla,15.7333,-96.4667,25.4,88,10,1.78,MX,1691407170
38,villa regina,-39.1,-67.0667,4.0,86,0,4.04,AR,1691407171
39,lebu,-37.6167,-73.65,8.57,73,27,1.73,CL,1691407041
40,afaahiti,-17.75,-149.2833,22.93,76,66,6.43,PF,1691407171
41,mount pearl,47.5166,-52.7813,16.03,95,100,4.63,CA,1691407027
42,papatowai,-46.5619,169.4708,4.84,87,99,4.79,NZ,1691407172
43,puerto leguizamo,-0.1934,-74.7819,21.14,97,100,1.14,CO,1691407172
44,geraldton,-28.7667,114.6,18.23,94,100,2.57,AU,1691407172
45,manokwari,-0.8667,134.0833,26.95,78,80,1.0,ID,1691407173
46,aasiaat,68.7098,-52.8699,2.64,78,29,3.04,GL,1691407173
47,klaksvik,62.2266,-6.589,13.51,87,99,5.92,FO,1691407173
48,carnarvon,-24.8667,113.6333,21.96,66,22,3.3,AU,1691407173
49,thompson,55.7435,-97.8558,9.09,100,0,1.54,CA,1691407174
50,lompoc,34.6391,-120.4579,15.43,97,100,0.0,US,1691407174
51,howrah,22.5892,88.3103,28.0,91,100,3.6,IN,1691407174
52,saipan,15.1355,145.701,27.58,100,75,0.89,MP,1691407174
53,swakopmund,-22.6833,14.5333,21.1,66,0,1.34,NA,1691407174
54,grytviken,-54.2811,-36.5092,-4.28,95,100,7.79,GS,1691407175
55,tralee,52.2704,-9.7026,16.14,77,20,5.14,IE,1691407019
56,olonkinbyen,70.9221,-8.7187,4.27,82,93,4.67,SJ,1691407175
57,kalulushi,-12.8378,28.0919,26.5,26,4,2.91,ZM,1691407175
58,xilin hot,43.9667,116.0333,26.17,49,12,2.49,CN,1691406945
59,tolanaro,-25.0319,46.9987,23.48,63,24,7.87,MG,1691407176
60,port mathurin,-19.6833,63.4167,22.15,67,30,8.47,MU,1691407176
61,coronel suarez,-37.4547,-61.9334,0.8,92,2,2.86,AR,1691407176
62,puerto natales,-51.7236,-72.4875,-2.03,82,99,1.54,CL,1691407176
63,qamdo,31.1667,97.2333,14.43,56,96,0.24,CN,1691407176
64,bethel,41.3712,-73.414,22.52,89,100,2.57,US,1691407177
65,souillac,-20.5167,57.5167,24.21,60,20,6.69,MU,1691407177
66,saint-pierre,-21.3393,55.4781,23.09,78,0,13.89,RE,1691407177
67,atafu village,-8.5421,-172.5159,28.64,72,49,6.75,TK,1691407177
68,freetown,8.484,-13.2299,24.62,92,100,4.58,SL,1691407178
69,enriquillo,17.9,-71.2333,26.79,89,24,5.59,DO,1691407178
70,hermanus,-34.4187,19.2345,19.33,67,0,2.08,ZA,1691407178
71,college,64.8569,-147.8028,15.97,80,75,0.0,US,1691407178
72,bilibino,68.0546,166.4372,0.48,91,100,2.77,RU,1691407178
73,bredasdorp,-34.5322,20.0403,19.03,59,0,1.64,ZA,1691407026
74,iqaluit,63.7506,-68.5145,7.85,87,20,1.03,CA,1691407142
75,houma,29.5958,-90.7195,28.0,91,0,1.54,US,1691406979
76,kailua-kona,19.6406,-155.9956,25.98,82,0,4.63,US,1691407179
77,cururupu,-1.8283,-44.8683,25.9,85,88,2.87,BR,1691407160
78,vorgashor,67.5833,63.95,19.89,69,85,6.34,RU,1691406931
79,rongelap,11.1635,166.8941,28.33,80,100,7.46,MH,1691407180
80,lihue,21.9789,-159.3672,26.77,82,75,7.2,US,1691407180
81,iskateley,67.6803,53.1512,16.33,56,64,7.42,RU,1691407180
